country,foundation,mean,sd,n,se,ci95_lo,ci95_hi
IN,conscientiousness,3.314,0.703,1463,0.018,3.278,3.35
GB,conscientiousness,3.219,0.727,1531,0.019,3.182,3.255
CA,conscientiousness,3.337,0.734,924,0.024,3.289,3.384
PH,conscientiousness,3.4,0.665,649,0.026,3.348,3.451
BR,conscientiousness,3.025,0.689,175,0.052,2.923,3.127
DE,conscientiousness,3.202,0.748,191,0.054,3.095,3.308
IT,conscientiousness,3.238,0.609,277,0.037,3.166,3.309
AE,conscientiousness,3.4,0.641,100,0.064,3.274,3.526
SE,openness,3.983,0.608,169,0.047,3.891,4.074
IE,openness,3.918,0.596,107,0.058,3.805,4.031
PK,openness,3.52,0.644,222,0.043,3.435,3.605
AU,openness,3.913,0.628,974,0.02,3.874,3.953
SG,openness,3.784,0.585,133,0.051,3.685,3.884
ID,openness,3.688,0.577,172,0.044,3.602,3.775
DK,openness,4.097,0.6,122,0.054,3.99,4.203
FR,openness,4.012,0.557,129,0.049,3.916,4.108
PH,openness,3.718,0.575,649,0.023,3.673,3.762
CA,openness,3.97,0.623,924,0.02,3.93,4.01
ZA,openness,4.037,0.578,179,0.043,3.953,4.122
MY,openness,3.511,0.614,247,0.039,3.435,3.588
NO,openness,4.037,0.556,147,0.046,3.948,4.127
(nu,openness,3.92,0.644,369,0.034,3.855,3.986
NL,openness,4.064,0.538,133,0.047,3.972,4.155
IT,openness,4.011,0.577,277,0.035,3.943,4.079
NZ,openness,3.953,0.635,157,0.051,3.854,4.052
DE,openness,4.114,0.605,191,0.044,4.028,4.199
IN,openness,3.709,0.61,1463,0.016,3.677,3.74
GB,openness,3.897,0.637,1531,0.016,3.865,3.929
AE,openness,3.653,0.62,100,0.062,3.531,3.775
US,openness,3.947,0.621,8753,0.007,3.934,3.96
RO,openness,3.999,0.579,135,0.05,3.901,4.096
BR,openness,4.074,0.616,175,0.047,3.982,4.165
