country,foundation,mean,sd,n,se,ci95_lo,ci95_hi
Russia,aggressive,3.716,0.946,314,0.0534,3.612,3.821
Russia,selfenhancing,4.256,1.061,314,0.0599,4.139,4.374
Russia,selfdefeating,3.531,1.004,314,0.0566,3.42,3.642
Serbia,affiliative,5.758,0.824,404,0.041,5.677,5.838
Serbia,aggressive,3.071,0.927,404,0.0461,2.981,3.162
Serbia,selfenhancing,4.606,1.107,404,0.0551,4.498,4.714
Serbia,selfdefeating,3.45,1.146,404,0.057,3.338,3.562
South Korea,affiliative,5.119,0.849,184,0.0626,4.996,5.241
South Korea,aggressive,3.164,0.821,184,0.0605,3.045,3.282
South Korea,selfenhancing,4.011,0.818,184,0.0603,3.893,4.129
South Korea,selfdefeating,3.536,0.915,184,0.0675,3.404,3.668
Spain,affiliative,5.475,0.892,326,0.0494,5.378,5.572
Spain,aggressive,2.783,0.887,326,0.0492,2.686,2.879
Spain,selfenhancing,4.306,1.08,326,0.0598,4.189,4.423
Spain,selfdefeating,3.333,1.004,326,0.0556,3.224,3.441
Turkey,affiliative,5.26,0.946,202,0.0666,5.13,5.39
Turkey,aggressive,3.346,0.885,202,0.0623,3.224,3.468
Turkey,selfenhancing,4.034,1.323,202,0.0931,3.851,4.216
Turkey,selfdefeating,3.092,1.032,202,0.0726,2.95,3.235
Ukraine,affiliative,5.332,1.025,341,0.0555,5.224,5.441
Ukraine,aggressive,3.12,0.866,341,0.0469,3.028,3.212
Ukraine,selfenhancing,4.379,1.085,341,0.0588,4.264,4.494
Ukraine,selfdefeating,2.98,1.015,341,0.055,2.872,3.088
United States,affiliative,5.169,1.124,421,0.0548,5.061,5.276
United States,aggressive,3.48,0.96,421,0.0468,3.388,3.572
United States,selfenhancing,4.455,1.15,421,0.056,4.345,4.565
United States,selfdefeating,3.421,1.131,421,0.0551,3.313,3.529
Vietnam,affiliative,4.905,0.95,284,0.0564,4.795,5.015
Vietnam,aggressive,3.138,0.84,284,0.0498,3.04,3.235
Vietnam,selfenhancing,4.438,0.938,284,0.0556,4.328,4.547
Vietnam,selfdefeating,3.46,1.04,284,0.0617,3.339,3.581
