country,foundation,mean,sd,n,se,ci95_lo,ci95_hi
MY,self-reliance,3.394,0.613,400,0.031,3.334,3.454
HK,self-reliance,3.438,0.594,228,0.039,3.361,3.515
GB,self-reliance,3.196,0.689,5043,0.01,3.177,3.215
NO,perfectionism,2.864,0.609,262,0.038,2.791,2.938
MY,perfectionism,2.875,0.507,398,0.025,2.825,2.924
ES,perfectionism,2.806,0.658,179,0.049,2.71,2.903
AE,perfectionism,2.721,0.55,220,0.037,2.649,2.794
BR,perfectionism,3.037,0.689,168,0.053,2.933,3.141
US,perfectionism,2.868,0.674,23871,0.004,2.859,2.876
IE,perfectionism,2.782,0.695,397,0.035,2.713,2.85
NL,perfectionism,2.844,0.599,266,0.037,2.773,2.916
NZ,perfectionism,2.996,0.656,317,0.037,2.924,3.068
FI,perfectionism,3.033,0.606,292,0.035,2.964,3.103
PL,perfectionism,3.032,0.681,186,0.05,2.934,3.13
PH,perfectionism,2.717,0.52,2028,0.012,2.694,2.739
TR,perfectionism,2.669,0.584,146,0.048,2.574,2.763
CA,perfectionism,2.824,0.643,2633,0.013,2.8,2.849
ZA,perfectionism,2.664,0.682,354,0.036,2.593,2.735
AU,perfectionism,2.936,0.649,2532,0.013,2.911,2.961
ID,perfectionism,2.841,0.507,341,0.027,2.787,2.895
PK,perfectionism,2.623,0.535,239,0.035,2.556,2.691
HR,perfectionism,2.671,0.654,126,0.058,2.557,2.785
SG,perfectionism,2.955,0.571,463,0.027,2.903,3.007
CN,perfectionism,2.766,0.553,152,0.045,2.678,2.854
DK,perfectionism,2.921,0.701,124,0.063,2.797,3.044
GR,perfectionism,2.706,0.615,203,0.043,2.621,2.79
FR,perfectionism,2.989,0.686,283,0.041,2.909,3.069
IT,perfectionism,2.833,0.659,250,0.042,2.752,2.915
RO,perfectionism,2.771,0.623,202,0.044,2.685,2.857
HK,perfectionism,2.844,0.514,228,0.034,2.777,2.911
DE,perfectionism,2.898,0.666,357,0.035,2.829,2.967
EC,perfectionism,2.551,0.47,131,0.041,2.471,2.632
GB,perfectionism,2.912,0.663,5027,0.009,2.894,2.931
SE,perfectionism,2.859,0.65,391,0.033,2.795,2.924
TH,perfectionism,2.924,0.462,113,0.043,2.839,3.009
IN,perfectionism,2.636,0.553,3177,0.01,2.616,2.655
MX,perfectionism,2.707,0.643,231,0.042,2.624,2.79
TR,tension,2.815,0.607,148,0.05,2.717,2.913
MX,tension,2.802,0.678,233,0.044,2.715,2.889
IE,tension,2.79,0.719,397,0.036,2.719,2.861
ZA,tension,2.794,0.7,355,0.037,2.722,2.867
FR,tension,2.798,0.642,284,0.038,2.723,2.873
AU,tension,2.84,0.685,2538,0.014,2.813,2.867
DE,tension,2.728,0.637,358,0.034,2.662,2.794
ES,tension,2.687,0.691,179,0.052,2.586,2.788
IT,tension,2.8,0.679,252,0.043,2.716,2.884
NZ,tension,2.891,0.671,317,0.038,2.817,2.965
NO,tension,2.674,0.643,263,0.04,2.597,2.752
IN,tension,2.754,0.612,3229,0.011,2.733,2.775
AE,tension,2.797,0.63,220,0.042,2.713,2.88
DK,tension,2.793,0.684,124,0.061,2.673,2.914
CA,tension,2.73,0.67,2643,0.013,2.704,2.755
SE,tension,2.65,0.682,393,0.034,2.582,2.717
PL,tension,2.927,0.726,187,0.053,2.823,3.031
GR,tension,2.812,0.626,203,0.044,2.726,2.898
EC,tension,2.491,0.527,131,0.046,2.401,2.581
NL,tension,2.724,0.674,265,0.041,2.643,2.805
CN,tension,2.764,0.702,153,0.057,2.653,2.876
GB,tension,2.921,0.684,5044,0.01,2.902,2.94
ID,tension,2.908,0.54,344,0.029,2.851,2.965
PH,tension,2.793,0.617,2044,0.014,2.766,2.82
FI,tension,2.75,0.659,292,0.039,2.675,2.826
HR,tension,2.551,0.606,126,0.054,2.445,2.657
SG,tension,2.965,0.653,464,0.03,2.905,3.024
RO,tension,2.872,0.682,204,0.048,2.778,2.965
TH,tension,2.883,0.655,113,0.062,2.762,3.004
HK,tension,2.891,0.547,228,0.036,2.82,2.962
PK,tension,2.848,0.584,242,0.038,2.775,2.922
MY,tension,3.001,0.545,400,0.027,2.947,3.054
US,tension,2.84,0.684,23927,0.004,2.831,2.848
BR,tension,3.007,0.683,168,0.053,2.903,3.11
